S. No.,State,Name of the Peaks,Height in Meters,Purpose
1,UTTARAKHAND (Total 51 Peaks),Avalanche,6443,Mountaineering
2,UTTARAKHAND (Total 51 Peaks),Bhrigupanth,6772,Mountaineering
3,UTTARAKHAND (Total 51 Peaks),Bharigu Parbat,6041,Mountaineering
4,UTTARAKHAND (Total 51 Peaks),Kalidhang,6375,Mountaineering
5,UTTARAKHAND (Total 51 Peaks),Yanbuk,5953,Trekking
6,UTTARAKHAND (Total 51 Peaks),Ratangarian,5858,Trekking
7,UTTARAKHAND (Total 51 Peaks),Chirbas Parbat,6529,Mountaineering
8,UTTARAKHAND (Total 51 Peaks),Mahalaya Parbat,5947,Trekking
9,UTTARAKHAND (Total 51 Peaks),Rudugaira,5819,Trekking
10,UTTARAKHAND (Total 51 Peaks),Balakun,6471,Mountaineering
11,UTTARAKHAND (Total 51 Peaks),Banderpunch West,6102,Mountaineering
12,UTTARAKHAND (Total 51 Peaks),Bewtarholi,6352,Mountaineering
13,UTTARAKHAND (Total 51 Peaks),Betartholi South,6318,Mountaineering
14,UTTARAKHAND (Total 51 Peaks),Bhagnyu,5706,Trekking
15,UTTARAKHAND (Total 51 Peaks),Garur Parbat,6504,Mountaineering
16,UTTARAKHAND (Total 51 Peaks),Garur Forked,6267,Mountaineering
17,UTTARAKHAND (Total 51 Peaks),Kalanka,6931,Mountaineering
18,UTTARAKHAND (Total 51 Peaks),Parbati Parbat,6257,Mountaineering
19,UTTARAKHAND (Total 51 Peaks),Pawagarh,5306,Trekking
20,UTTARAKHAND (Total 51 Peaks),Purbi Dunagiri,6489,Mountaineering
21,UTTARAKHAND (Total 51 Peaks),Rishi Pahar,6992,Mountaineering
22,UTTARAKHAND (Total 51 Peaks),Narayan Parbat,5965,Trekking
23,UTTARAKHAND (Total 51 Peaks),Nar Parbat,5855,Trekking
24,UTTARAKHAND (Total 51 Peaks),Black Peak,6387,Mountaineering
25,UTTARAKHAND (Total 51 Peaks),Dangthal,6050,Mountaineering
26,UTTARAKHAND (Total 51 Peaks),Devisthan-I,6678,Mountaineering
27,UTTARAKHAND (Total 51 Peaks),Devistan-II,6529,Mountaineering
28,UTTARAKHAND (Total 51 Peaks),Devtoli,6788,Mountaineering
29,UTTARAKHAND (Total 51 Peaks),Dunagiri,7066,Mountaineering
30,UTTARAKHAND (Total 51 Peaks),Hardeol,7151,Mountaineering
31,UTTARAKHAND (Total 51 Peaks),Janhukot,6806,Mountaineering
32,UTTARAKHAND (Total 51 Peaks),Kirti Stambha,6270,Mountaineering
33,UTTARAKHAND (Total 51 Peaks),Lamchir,5662,Trekking
34,UTTARAKHAND (Total 51 Peaks),Lamchir South,5209,Trekking
35,UTTARAKHAND (Total 51 Peaks),Lampak South,6324,Mountaineering
36,UTTARAKHAND (Total 51 Peaks),Mahalaya Parbat,5947,Trekking
37,UTTARAKHAND (Total 51 Peaks),Manda-I,6568,Mountaineering
38,UTTARAKHAND (Total 51 Peaks),Manda-II,6529,Mountaineering
39,UTTARAKHAND (Total 51 Peaks),Manda-III,6510,Mountaineering
40,UTTARAKHAND (Total 51 Peaks),Nanda Bhanar,6269,Mountaineering
41,UTTARAKHAND (Total 51 Peaks),Nanda Khani,6029,Mountaineering
42,UTTARAKHAND (Total 51 Peaks),Nanda Lapak,5782,Trekking
43,UTTARAKHAND (Total 51 Peaks),Panchachuli-I,6355,Mountaineering
44,UTTARAKHAND (Total 51 Peaks),Panchachuli-II,6904,Mountaineering
45,UTTARAKHAND (Total 51 Peaks),Panchachuli-III,6312,Mountaineering
46,UTTARAKHAND (Total 51 Peaks),Panchachuli-IV,6334,Mountaineering
47,UTTARAKHAND (Total 51 Peaks),Panchachuli-V,6437,Mountaineering
48,UTTARAKHAND (Total 51 Peaks),Rishi Kot,6236,Mountaineering
49,UTTARAKHAND (Total 51 Peaks),SAF Minal,6911,Mountaineering
50,UTTARAKHAND (Total 51 Peaks),Srikantha,6133,Mountaineering
51,UTTARAKHAND (Total 51 Peaks),Sumeru Parbat,6330,Mountaineering
52,SIKKIM (Total 10 Peaks),Jopono,5936,Trekking
53,SIKKIM (Total 10 Peaks),Koktang,6147,Mountaineering
54,SIKKIM (Total 10 Peaks),Nepal Peak,7168,Mountaineering
55,SIKKIM (Total 10 Peaks),Pyramid Peak,7123,Mountaineering
56,SIKKIM (Total 10 Peaks),Talung,7349,Mountaineering
57,SIKKIM (Total 10 Peaks),Talung South I,6970,Mountaineering
58,SIKKIM (Total 10 Peaks),Talung South II,7388,Mountaineering
59,SIKKIM (Total 10 Peaks),Tent Peak,7365,Mountaineering
60,SIKKIM (Total 10 Peaks),Tingchenkhang,6010,Mountaineering
61,SIKKIM (Total 10 Peaks),Zemu Peak,7038,Mountaineering
62,JAMMU & KASHMIR (Total 15 Peaks),Golapkangri,5900,Trekking
63,JAMMU & KASHMIR (Total 15 Peaks),Eiger,6001,Mountaineering
64,JAMMU & KASHMIR (Total 15 Peaks),Cerro Kisthwar,6200,Mountaineering
65,JAMMU & KASHMIR (Total 15 Peaks),Chomochior,6322,Mountaineering
66,JAMMU & KASHMIR (Total 15 Peaks),Kailash,6400,Mountaineering
67,JAMMU & KASHMIR (Total 15 Peaks),Agyasol,6200,Mountaineering
68,JAMMU & KASHMIR (Total 15 Peaks),Umasi,6020,Mountaineering
69,JAMMU & KASHMIR (Total 15 Peaks),"Kalidahar, Kishtwar (Spire)",5900,Trekking
70,JAMMU & KASHMIR (Total 15 Peaks),Dandagoporum,6100,Mountaineering
71,JAMMU & KASHMIR (Total 15 Peaks),Mardi Phabrang,6062,Mountaineering
72,JAMMU & KASHMIR (Total 15 Peaks),Tupendu I,5700,Trekking
73,JAMMU & KASHMIR (Total 15 Peaks),Tipendu II,5600,Trekking
74,JAMMU & KASHMIR (Total 15 Peaks),Kishtwar Shivling,6040,Mountaineering
75,JAMMU & KASHMIR (Total 15 Peaks),Tanak Peak,5992,Trekking
76,JAMMU & KASHMIR (Total 15 Peaks),Barmal Peak,5813,Trekking
77,HIMACHAL PRADESH (Total 47 Peaks),Kullu Makalu,6350,Mountaineering
78,HIMACHAL PRADESH (Total 47 Peaks),Kullu Pumori,6581,Mountaineering
79,HIMACHAL PRADESH (Total 47 Peaks),Kullu Eiger,5646,Trekking
80,HIMACHAL PRADESH (Total 47 Peaks),Dibibokri Pyramid,6408,Mountaineering
81,HIMACHAL PRADESH (Total 47 Peaks),Fluted Peak,6137,Mountaineering
82,HIMACHAL PRADESH (Total 47 Peaks),Hunnungma,5952,Trekking
83,HIMACHAL PRADESH (Total 47 Peaks),Pyramid,6036,Mountaineering
84,HIMACHAL PRADESH (Total 47 Peaks),Parbati South,5806,Trekking
85,HIMACHAL PRADESH (Total 47 Peaks),Rubal Kang,6150,Mountaineering
86,HIMACHAL PRADESH (Total 47 Peaks),Shigri PArbat,6526,Mountaineering
87,HIMACHAL PRADESH (Total 47 Peaks),Snow Cone,6311,Mountaineering
88,HIMACHAL PRADESH (Total 47 Peaks),Snow Dome,5980,Trekking
89,HIMACHAL PRADESH (Total 47 Peaks),Shitidhar,5294,Trekking
90,HIMACHAL PRADESH (Total 47 Peaks),Ashagiri,6100,Mountaineering
91,HIMACHAL PRADESH (Total 47 Peaks),CB-17,5875,Trekking
92,HIMACHAL PRADESH (Total 47 Peaks),CB-18,5915,Trekking
93,HIMACHAL PRADESH (Total 47 Peaks),CB-19,5890,Trekking
94,HIMACHAL PRADESH (Total 47 Peaks),CB-48 (Tamoo),5904,Trekking
95,HIMACHAL PRADESH (Total 47 Peaks),CB-49 (Tilakalhar),5964,Trekking
96,HIMACHAL PRADESH (Total 47 Peaks),CB-50,6096,Mountaineering
97,HIMACHAL PRADESH (Total 47 Peaks),CB-52,5944,Trekking
98,HIMACHAL PRADESH (Total 47 Peaks),CB-53 (Shramili),6000,Mountaineering
99,HIMACHAL PRADESH (Total 47 Peaks),CB-54,6069,Mountaineering
100,HIMACHAL PRADESH (Total 47 Peaks),CB-55 (Sharmili),5956,Trekking
101,HIMACHAL PRADESH (Total 47 Peaks),CB-57 (Tapugiri),5791,Trekking
